Product_Name, PlatForm, Price_Down, Original_Price,Price, RatePercent, User_Amount,,
Runner3,['win'/ 'mac'],-15%,$29.99 ,$9.89 ,71%,67,,
Simple Sailing XL Edition,['win'/ 'mac'/ 'lin'],-25%,$18.93 ,$1.40 ,50%,64,,
Rising Storm 2: Vietnam - Digital Deluxe Edition Upgrade,['win'],-67%,$4.99 ,$1.65 ,79%,62,,
Rocket League® - Hot Wheels® Triple Threat DLC Pack,['win'/ 'mac'/ 'lin'],-33%,$5.99 ,$2.99 ,65%,61,,
Mixcraft 8 Home Studio,['win'],-30%,$39.99 ,$19.99 ,91%,60,,
Magicka: The Stars Are Left,['win'],-40%,$5.99 ,$2.99 ,35%,59,,
Hidden Object Romantic Bundle 2-in-1,['win'/ 'mac'],,,,66%,56,,
Realm Royale - Alpha Pack,['win'],-90%,$14.99 ,$9.89 ,84%,53,,
VR Arcade Bundle,['win'/ 'hmd'/ 'htc'/ 'win'],-10%,,,85%,49,,
Rising Storm 2: Vietnam - Rear Echelon Cosmetic DLC,['win'],-66%,$7.99 ,$3.99 ,97%,48,,
Laserlife,['win'],-90%,$14.99 ,$1.49 ,72%,48,,
Nevrosa: Escape,['win'/ 'hmd'/ 'htc'/ 'ocu'/ 'win'],-15%,$14.99 ,$9.89 ,89%,46,,
Nevrosa Dilogy: Prelude & Escape,['win'],,$22.97 ,$12.60 ,89%,46,,
Small Radios Big Televisions + Soundtrack,['win'],-30%,$17.98 ,$9.24 ,86%,45,,
Deqaf Addictive Bundle,['win'/ 'mac'],-90%,$9.98 ,$8.44 ,86%,45,,
Plastic soldiers,['win'],-40%,$0.99 ,$0.84 ,77%,45,,
Mind Maze,['win'],,$0.99 ,$0.66 ,71%,45,,
Mind Maze Bundle,['win'],-51%,$2.97 ,$1.96 ,72%,44,,
ACID Music Studio 10 - Steam Powered,['win'],,$49.99 ,$12.49 ,63%,44,,
Soul Gambler: Artbook & Soundtrack,['win'],-87%,$3.99 ,$0.51 ,88%,43,,
Small Radios Big Televisions,['win'],,$11.99 ,$5.15 ,86%,43,,
Magicka: Nippon,['win'],,$0.99 ,$0.49 ,83%,42,,
Planet Coaster - Vintage Pack,['win'],-75%,$10.99 ,$9.34 ,78%,42,,
Qbike: PC vs VR,['win'],,$15.98 ,$4.46 ,61%,42,,
Uncharted Waters II / 大航海時代 II,['win'],-19%,$12.99 ,$9.09 ,77%,40,,
Paladins - Season Pass 2018,['win'/ 'mac'],-10%,$39.99 ,$19.99 ,84%,39,,
Drink Pro Tycoon,['win'],-87%,$9.99 ,$2.99 ,48%,39,,
Indiana Jones® and the Emperor's Tomb™,['win'],,$5.99 ,$3.59 ,97%,38,,
Ultimate Spider Hero,['win'/ 'mac'/ 'lin'],-90%,$1.99 ,$0.49 ,64%,37,,
Romance of the Three Kingdoms　VIII with Power Up Kit / 三國志VIII with パワーアップキット,['win'],,$19.99 ,$13.99 ,64%,37,,
Surviving Mars: Season Pass,['win'/ 'mac'/ 'lin'],-25%,$34.99 ,$26.24 ,40%,37,,
